Time,BRIGHT_VERT,PREL_VERT
0.0,-1.0,-0.37335575
0.0,8.680724918811373,-0.36089018
0.0,14.37653585170931,-0.34825292
0.0,20.4017097766684,-0.33545497
0.0,26.41348154183417,-0.32250828
0.0,32.268984089493514,-0.30942488
0.0,38.077903612035634,-0.29621768
0.0,44.17644173045414,-0.2829
0.0,51.02569826966823,-0.26948524
0.0,59.0645241604542,-0.25598735
0.0,68.5634239274189,-0.24242061
0.0,87.34682000191302,-0.2299141
0.0,79.52699875320238,-0.22879902
0.0,91.67374422616992,-0.21513703
0.0,108.2340448414803,-0.20390849
0.0,104.49868572621043,-0.20144916
0.0,117.39391431454065,-0.1877494
0.0,131.44707500502716,-0.1767418
0.0,129.78423635405105,-0.17405218
0.0,141.23811760679712,-0.16037115
0.0,153.82419267671767,-0.1485101
0.0,173.0477696555514,-0.119337544
0.0,188.27701364030557,-0.08937535
0.0,199.27054293713823,-0.058799013
0.0,205.95673234370958,-0.027804017
0.0,208.7741695361159,0.0034000047
0.0,204.1647176706902,0.034014285
0.0,208.39986275386946,0.034596097
0.0,199.94771706838156,0.058164448
0.0,205.16256984591902,0.06556749
0.0,195.20659580051603,0.08322801
0.0,199.32703627287418,0.096105024
0.0,190.00589400506465,0.10907498
0.0,191.3020157290396,0.126014
0.0,183.59550352819306,0.1355388
0.0,180.7358367605373,0.15511994
0.0,173.94902710722081,0.16241844
0.0,166.10382235057625,0.1832729
0.0,158.4104862360019,0.18948343
0.0,146.20190528062733,0.21035004
0.0,135.7524104409548,0.21647985
0.0,79.50149885651751,0.26920003
0.0,54.89550781799128,0.29440156
0.0,36.30180266702738,0.31851453
0.0,23.48472589672374,0.34134337
0.0,15.018753785775745,0.3627339
0.0,9.443931654295449,0.38257873
0.0,5.726836168199948,0.4008162
0.0,-1.0,0.41742858
1.0,-1.0,-0.37335575
1.0,7.666032590158339,-0.36089018
1.0,11.578540997690022,-0.34825292
1.0,16.163066143566514,-0.33545497
1.0,21.320069589507074,-0.32250828
1.0,26.9782752821388,-0.30942488
1.0,33.12275866346891,-0.29621768
1.0,39.80461111742119,-0.2829
1.0,47.126070975892,-0.26948524
1.0,55.20312819705157,-0.25598735
1.0,64.11539655381988,-0.24242061
1.0,81.8498546794455,-0.2299141
1.0,73.85828824088122,-0.22879902
1.0,84.31112675880217,-0.21513703
1.0,99.73970182657135,-0.20390849
1.0,95.23406168661649,-0.20144916
1.0,106.29569672106005,-0.1877494
1.0,119.76288320153974,-0.1767418
1.0,117.12403930314477,-0.17405218
1.0,127.36965355525237,-0.16037115
1.0,139.8603142421986,-0.1485101
1.0,157.3737061384213,-0.119337544
1.0,170.76351329030376,-0.08937535
1.0,180.3063311113764,-0.058799013
1.0,186.9641913606281,-0.027804017
1.0,190.9336841048753,0.0034000047
1.0,187.75765484080245,0.034014285
1.0,191.73934740557868,0.034596097
1.0,184.24784510211705,0.058164448
1.0,189.39594618683753,0.06556749
1.0,180.07283074461046,0.08322801
1.0,184.64568363996813,0.096105024
1.0,175.5193718120091,0.10907498
1.0,177.84238958754767,0.126014
1.0,169.77224666600858,0.1355388
1.0,168.12968828479498,0.15511994
1.0,160.6859017198732,0.16241844
1.0,154.1232670562966,0.1832729
1.0,145.92395551841904,0.18948343
1.0,135.36864756405225,0.21035004
1.0,124.86240174673004,0.21647985
1.0,73.9059233248148,0.26920003
1.0,51.50248893188474,0.29440156
1.0,34.2955802421869,0.31851453
1.0,22.326214672971965,0.34134337
1.0,14.485594476382134,0.3627339
1.0,9.40262372214253,0.38257873
1.0,5.988252674484444,0.4008162
1.0,-1.0,0.41742858
2.0,4.499058367477943,-0.37335575
2.0,6.928521742544476,-0.36089018
2.0,10.106583260375263,-0.34825292
2.0,14.057160001777078,-0.33545497
2.0,18.755219438090496,-0.32250828
2.0,24.139260313806883,-0.30942488
2.0,30.13435180807336,-0.29621768
2.0,36.679854924901285,-0.2829
2.0,43.750876066415245,-0.26948524
2.0,51.36339685737452,-0.25598735
2.0,59.55796536453507,-0.24242061
2.0,76.46237039550572,-0.2299141
2.0,68.3647180531337,-0.22879902
2.0,77.75900909417297,-0.21513703
2.0,92.95407193470061,-0.20390849
2.0,87.62550234053509,-0.20144916
2.0,97.7454725922486,-0.1877494
2.0,111.73155612134738,-0.1767418
2.0,107.81529604458538,-0.17405218
2.0,117.49623483339646,-0.16037115
2.0,130.98333618288154,-0.1485101
2.0,147.74965350009597,-0.119337544
2.0,160.31930832290706,-0.08937535
2.0,169.51674785406107,-0.058799013
2.0,176.88449856411935,-0.027804017
2.0,182.2378532009004,0.0034000047
2.0,179.69554184035533,0.034014285
2.0,184.23359684416164,0.034596097
2.0,176.521224149781,0.058164448
2.0,182.75822078841827,0.06556749
2.0,172.76709969913645,0.08322801
2.0,179.03256177193197,0.096105024
2.0,168.91119175051662,0.10907498
2.0,173.3269485706502,0.126014
